"","year","area","street","street2","html"
"3185",2012,"birmingham","ReddicapHill","reddicap hill",""
"3186",2012,"birmingham","RedwingGroveErdingtonBham"," redwing grove, erdington, b'ham",""
"3187",2012,"birmingham","RedwingGroveErdingtonBham"," redwing grove, erdington, b'ham",""
"3188",2012,"birmingham","RedwingGroveErdingtonBham"," redwing grove, erdington, b'ham",""
"3189",2012,"birmingham","RedwingGroveErdingtonBham"," redwing grove, erdington, b'ham",""
"3190",2012,"birmingham","RedwingGroveErdingtonBham"," redwing grove, erdington, b'ham",""
"3191",2012,"birmingham","RedwingGroveErdingtonBham"," redwing grove, erdington, b'ham",""
"3192",2012,"birmingham","RedwingGroveErdingtonBham"," redwing grove, erdington, b'ham",""
"3193",2012,"birmingham","reservoirrderdington","reservoir rd erdington",""
"3194",2012,"birmingham","reservoirrderdington","reservoir rd erdington",""
"3195",2012,"birmingham","reservoirrderdington","reservoir rd erdington",""
"3196",2012,"birmingham","reservoirrderdington","reservoir rd erdington",""
"3197",2012,"birmingham","reservoirrderdington","reservoir rd erdington",""
"3198",2012,"birmingham","RESERVOIRROAD","reservoir road",""
"3199",2012,"birmingham","RidgewayErdington"," ridgeway, erdington",""
"3200",2012,"birmingham","SCTownCentre","sc town centre",""
"3201",2012,"birmingham","ShortHeathRd","short heath rd",""
"3202",2012,"birmingham","SladeRoad","slade road",""
"3203",2012,"birmingham","SladeRoad","slade road",""
"3204",2012,"birmingham","SOMERSETROADERDINGTON"," somerset road, erdington",""
"3205",2012,"birmingham","SouthParade","south parade",""
"3206",2012,"birmingham","SouthParade","south parade",""
"3207",2012,"birmingham","SouthParade","south parade",""
"3208",2012,"birmingham","SouthParade","south parade",""
"3209",2012,"birmingham","SouthParade","south parade",""
"3210",2012,"birmingham","SouthParade","south parade",""
"3211",2012,"birmingham","SouthparadeSuttonColdfieldTownCentre","south parade ‚â„õ‚ê sutton coldfield town centre",""
"3212",2012,"birmingham","SouthparadeOsMoomoo","south parade o/s moomoo",""
"3213",2012,"birmingham","SouthparadeSCTownCentre","south parade s/c town centre",""
"3214",2012,"birmingham","SouthParadeSuttonColdfield"," south parade, sutton coldfield",""
"3215",2012,"birmingham","SouthParadeSuttonColdfield"," south parade, sutton coldfield",""
"3216",2012,"birmingham","SouthParadeSuttonColdfield"," south parade, sutton coldfield",""
"3217",2012,"birmingham","SouthParadeSuttonColdfield"," south parade, sutton coldfield",""
"3218",2012,"birmingham","SOUTHPARADESUTTONCOLDFIELD"," south parade, sutton coldfield",""
